Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(length,whole,sex=F,)=>height | whole_supp: 2614 | whole_vio: 36 | whole_conf: 0.986228 | Asupp: 3
(height,whole,rings=10,)=>length | whole_supp: 1268 | whole_vio: 18 | whole_conf: 0.985804 | Asupp: 2
(length,whole,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 38 | whole_conf: 0.985463 | Asupp: 3
(diameter,viscera,rings,)=>sex | whole_supp: 8354 | whole_vio: 122 | whole_conf: 0.985396 | Asupp: 10
(length,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 20 | whole_conf: 0.984227 | Asupp: 3
(diameter,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 136 | whole_conf: 0.983720 | Asupp: 10
(viscera,shell,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 2
(diameter,whole,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 2
(diameter,whole,sex=M,)=>height | whole_supp: 3056 | whole_vio: 52 | whole_conf: 0.982984 | Asupp: 2
(length,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(diameter,whole,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 54 | whole_conf: 0.982330 | Asupp: 2
(diameter,whole,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 56 | whole_conf: 0.981675 | Asupp: 2
(length,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 48 | whole_conf: 0.981637 | Asupp: 4
(length,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 156 | whole_conf: 0.981326 | Asupp: 10
(diameter,height,viscera,)=>shell | whole_supp: 8354 | whole_vio: 160 | whole_conf: 0.980847 | Asupp: 10
(height,whole,sex=M,)=>length | whole_supp: 3056 | whole_vio: 62 | whole_conf: 0.979712 | Asupp: 2
(diameter,viscera,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 26 | whole_conf: 0.979495 | Asupp: 2
(length,viscera,rings,)=>whole | whole_supp: 8354 | whole_vio: 182 | whole_conf: 0.978214 | Asupp: 10
(diameter,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 28 | whole_conf: 0.977918 | Asupp: 4
(length,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 72 | whole_conf: 0.976440 | Asupp: 2
(length,whucked,sex=M,)=>height | whole_supp: 3056 | whole_vio: 74 | whole_conf: 0.975785 | Asupp: 2
(diameter,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 64 | whole_conf: 0.975516 | Asupp: 3
(diameter,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 208 | whole_conf: 0.975102 | Asupp: 10
(diameter,whucked,sex=M,)=>height | whole_supp: 3056 | whole_vio: 78 | whole_conf: 0.974476 | Asupp: 2
(length,whucked,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 80 | whole_conf: 0.973822 | Asupp: 2
(length,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 72 | whole_conf: 0.973174 | Asupp: 6
(diameter,viscera,rings,)=>shell | whole_supp: 8354 | whole_vio: 228 | whole_conf: 0.972708 | Asupp: 10
(diameter,viscera,rings,)=>whole | whole_supp: 8354 | whole_vio: 236 | whole_conf: 0.971750 | Asupp: 10
(diameter,whucked,sex=F,)=>height | whole_supp: 2614 | whole_vio: 76 | whole_conf: 0.970926 | Asupp: 3
(height,whucked,sex=F,)=>length | whole_supp: 2614 | whole_vio: 76 | whole_conf: 0.970926 | Asupp: 3
(diameter,whucked,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 80 | whole_conf: 0.969396 | Asupp: 3
(height,whucked,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 80 | whole_conf: 0.969396 | Asupp: 3
(length,whole,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 84 | whole_conf: 0.968703 | Asupp: 6
(length,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 84 | whole_conf: 0.967865 | Asupp: 3
(length,height,shell,)=>rings | whole_supp: 8354 | whole_vio: 276 | whole_conf: 0.966962 | Asupp: 10
(diameter,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 42 | whole_conf: 0.966877 | Asupp: 3
(diameter,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 42 | whole_conf: 0.966877 | Asupp: 2
(length,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 90 | whole_conf: 0.965570 | Asupp: 3
